epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.146,1.43518,1.8479,1.0269,0.39985,0.24354,0.22589,0.13784,1.30593,1.10461,0.95033,0.0670815,0.00033251,0.00033251
2,636.218,1.31941,1.14884,0.9713,0.3981,0.29456,0.28577,0.17337,1.25662,0.99084,0.92559,0.0340749,0.000659252,0.000659252
3,949.556,1.29609,1.03988,0.95128,0.44108,0.32381,0.3216,0.19583,1.23956,0.93827,0.91723,0.0010617,0.000979393,0.000979393
4,1261.98,1.26373,0.96874,0.94063,0.46284,0.33703,0.3435,0.2085,1.22337,0.9094,0.91126,0.0009703,0.0009703,0.0009703
5,1574.23,1.2456,0.92753,0.93391,0.48404,0.34226,0.35644,0.21745,1.20898,0.89216,0.90987,0.0009604,0.0009604,0.0009604
6,1886.75,1.22282,0.8892,0.92714,0.47985,0.36414,0.36855,0.22639,1.19837,0.87247,0.90615,0.0009505,0.0009505,0.0009505
7,2198.92,1.21926,0.87445,0.92423,0.49556,0.36765,0.37957,0.23055,1.19137,0.86284,0.90453,0.0009406,0.0009406,0.0009406
8,2511.01,1.20356,0.85185,0.92381,0.5052,0.36792,0.37788,0.23099,1.18803,0.85824,0.90479,0.0009307,0.0009307,0.0009307
9,2822.97,1.19281,0.83733,0.91895,0.5081,0.36995,0.38518,0.23646,1.18292,0.85598,0.90342,0.0009208,0.0009208,0.0009208
10,3135.16,1.19392,0.82711,0.91907,0.50609,0.37209,0.38883,0.23849,1.17771,0.84405,0.90111,0.0009109,0.0009109,0.0009109
11,3447.11,1.16693,0.80153,0.9134,0.51157,0.38515,0.39729,0.24501,1.17178,0.83789,0.89955,0.000901,0.000901,0.000901
12,3759.64,1.17053,0.79817,0.91175,0.5056,0.39075,0.39606,0.24328,1.17472,0.83236,0.89967,0.0008911,0.0008911,0.0008911
13,4071.59,1.17573,0.79379,0.91044,0.51981,0.37694,0.39792,0.24442,1.17582,0.83963,0.89958,0.0008812,0.0008812,0.0008812
14,4383.44,1.16312,0.78723,0.90987,0.51271,0.39072,0.40486,0.25035,1.16501,0.82743,0.89829,0.0008713,0.0008713,0.0008713
15,4696.09,1.16093,0.77758,0.90814,0.51817,0.39768,0.41182,0.25498,1.16156,0.82033,0.89663,0.0008614,0.0008614,0.0008614
16,5008.37,1.14753,0.76714,0.90638,0.52502,0.38923,0.40923,0.25357,1.16423,0.82178,0.89814,0.0008515,0.0008515,0.0008515
17,5320.12,1.16019,0.76823,0.90823,0.53362,0.39056,0.41345,0.25564,1.15962,0.82033,0.89653,0.0008416,0.0008416,0.0008416
18,5632.24,1.14509,0.75356,0.90334,0.525,0.39436,0.41429,0.25654,1.15817,0.82404,0.89779,0.0008317,0.0008317,0.0008317
19,5944.12,1.13958,0.74617,0.9031,0.53594,0.39819,0.41395,0.25557,1.16417,0.81712,0.89818,0.0008218,0.0008218,0.0008218
20,6256.4,1.13061,0.74086,0.89956,0.54216,0.39491,0.41553,0.25685,1.16032,0.816,0.8964,0.0008119,0.0008119,0.0008119
21,6568.74,1.13653,0.73612,0.90345,0.5383,0.39836,0.41907,0.2593,1.15645,0.81363,0.89584,0.000802,0.000802,0.000802
22,6881.03,1.13783,0.73561,0.90097,0.53046,0.39199,0.41607,0.25673,1.16195,0.81701,0.89705,0.0007921,0.0007921,0.0007921
23,7193.31,1.12853,0.72579,0.89853,0.53899,0.3951,0.4189,0.25957,1.16017,0.81203,0.8969,0.0007822,0.0007822,0.0007822
24,7505.32,1.11475,0.71697,0.89771,0.53018,0.40243,0.42274,0.26076,1.15621,0.81102,0.89585,0.0007723,0.0007723,0.0007723
25,7817.7,1.11678,0.71305,0.8954,0.53607,0.39842,0.42407,0.26158,1.15708,0.81428,0.89609,0.0007624,0.0007624,0.0007624
26,8129.83,1.11056,0.70683,0.89563,0.53202,0.40356,0.42444,0.26064,1.15645,0.81018,0.898,0.0007525,0.0007525,0.0007525
27,8441.62,1.11172,0.70329,0.89369,0.53653,0.40494,0.42502,0.26098,1.15173,0.81277,0.89503,0.0007426,0.0007426,0.0007426
28,8754.12,1.11128,0.7032,0.89531,0.53267,0.4033,0.42567,0.26266,1.15495,0.80954,0.89638,0.0007327,0.0007327,0.0007327
