epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4583,1.85067,2.87599,1.12513,0.60043,0.07179,0.06457,0.03698,1.73328,2.06566,1.051,0.0670815,0.00033251,0.00033251
2,174.983,1.75908,2.04062,1.08188,0.41628,0.13875,0.1006,0.05252,1.69841,1.70649,1.0302,0.0340749,0.000659252,0.000659252
3,260.658,1.72784,1.75984,1.05543,0.28436,0.16909,0.12991,0.06935,1.65176,1.49901,1.01251,0.0010617,0.000979393,0.000979393
4,345.752,1.67779,1.60891,1.0359,0.21606,0.20124,0.15466,0.08377,1.5972,1.40322,1.00128,0.0009703,0.0009703,0.0009703
5,430.416,1.65201,1.53978,1.02172,0.23273,0.21128,0.16804,0.09253,1.58491,1.37524,0.99015,0.0009604,0.0009604,0.0009604
6,515.151,1.62175,1.47865,1.01004,0.25151,0.22118,0.17952,0.1004,1.57606,1.32714,0.98507,0.0009505,0.0009505,0.0009505
7,599.222,1.61248,1.44741,1.00355,0.26503,0.2323,0.19005,0.10603,1.54184,1.29243,0.97734,0.0009406,0.0009406,0.0009406
8,683.317,1.59371,1.41177,1.00186,0.28375,0.23898,0.20172,0.11339,1.53981,1.27729,0.97877,0.0009307,0.0009307,0.0009307
9,767.011,1.58158,1.38755,0.99639,0.29154,0.24444,0.21174,0.11913,1.5369,1.26033,0.97329,0.0009208,0.0009208,0.0009208
10,850.65,1.57881,1.36518,0.9959,0.30009,0.24819,0.21812,0.12185,1.52635,1.24302,0.96954,0.0009109,0.0009109,0.0009109
11,934.524,1.54822,1.33368,0.98847,0.30973,0.24921,0.22449,0.12699,1.51069,1.22191,0.96789,0.000901,0.000901,0.000901
12,1018.91,1.55543,1.32562,0.98693,0.3143,0.25504,0.22808,0.12904,1.50511,1.2139,0.96592,0.0008911,0.0008911,0.0008911
13,1102.92,1.55838,1.31268,0.98486,0.32126,0.2506,0.22956,0.13095,1.50875,1.21106,0.96306,0.0008812,0.0008812,0.0008812
14,1186.73,1.54279,1.30374,0.98233,0.32373,0.25588,0.23498,0.1321,1.50188,1.20475,0.96367,0.0008713,0.0008713,0.0008713
15,1271.35,1.53864,1.28652,0.98053,0.30807,0.26412,0.23472,0.13244,1.50373,1.19952,0.96024,0.0008614,0.0008614,0.0008614
16,1355.11,1.52474,1.27519,0.97902,0.32758,0.25412,0.23717,0.1353,1.50302,1.18899,0.96218,0.0008515,0.0008515,0.0008515
17,1438.55,1.53976,1.28007,0.9803,0.32924,0.25999,0.2406,0.13538,1.48947,1.17663,0.9588,0.0008416,0.0008416,0.0008416
18,1522.16,1.52033,1.25547,0.97353,0.33068,0.27011,0.24621,0.139,1.48259,1.17524,0.95691,0.0008317,0.0008317,0.0008317
19,1605.83,1.51429,1.25117,0.97305,0.32913,0.2705,0.24819,0.1402,1.48072,1.17475,0.95758,0.0008218,0.0008218,0.0008218
20,1690.43,1.51032,1.24281,0.96876,0.34126,0.27062,0.24871,0.14085,1.48011,1.16395,0.95472,0.0008119,0.0008119,0.0008119
21,1774.78,1.51524,1.24152,0.97324,0.34445,0.27453,0.25449,0.14451,1.47668,1.16096,0.95471,0.000802,0.000802,0.000802
22,1859.26,1.52088,1.23923,0.97068,0.34563,0.27261,0.25551,0.14462,1.47154,1.15231,0.95317,0.0007921,0.0007921,0.0007921
23,1944.2,1.50656,1.22456,0.96682,0.35733,0.27522,0.25926,0.14618,1.47196,1.14958,0.95483,0.0007822,0.0007822,0.0007822
24,2027.85,1.49035,1.2156,0.96484,0.33734,0.27854,0.25841,0.14634,1.47056,1.14768,0.94993,0.0007723,0.0007723,0.0007723
25,2112.21,1.49194,1.20921,0.96171,0.34804,0.27529,0.25756,0.14565,1.46262,1.14782,0.94953,0.0007624,0.0007624,0.0007624
26,2196.28,1.48661,1.20148,0.96131,0.34707,0.28257,0.26387,0.14888,1.45958,1.13589,0.94919,0.0007525,0.0007525,0.0007525
